Latitude,Longitude,Elevation (m),City,Weather_loc,Distance_km,Difference_km
-12.45618,130.845,12.35283,Darwin City,Darwin,0.0,0.0
-12.44833,130.84883,8.62573,Stuart Park,Darwin,0.963,0.963
-12.43934,130.84961,7.1945,Woolner,Darwin,1.961,0.998
-12.43401,130.85681,18.8547,Bayview,Darwin,2.941,0.98
-12.43243,130.86628,7.83391,Winnellie,Darwin,3.985,1.044
-12.4324,130.87497,22.49218,Winnellie,Darwin,4.93,0.945
-12.43237,130.88419,16.05293,Winnellie,Darwin,5.932,1.002
-12.4328,130.89315,26.3993,Winnellie,Darwin,6.907,0.975
-12.43754,130.90071,18.88672,Winnellie,Darwin,7.882,0.975
-12.4401,130.90962,33.41749,Winnellie,Darwin,8.891,1.009
-12.44502,130.91712,13.87503,Berrimah,Darwin,9.871,0.98
-12.44992,130.92462,15.57508,Tivendale,Darwin,10.85,0.979
-12.45178,130.93279,29.40961,Tivendale,Darwin,11.762,0.912
-12.45484,130.94156,13.64915,Tivendale,Darwin,12.774,1.012
-12.45853,130.94991,18.61061,Pinelands,Darwin,13.769,0.995
-12.46315,130.95809,20.96339,Pinelands,Darwin,14.795,1.026
-12.46382,130.96737,36.66776,Pinelands,Darwin,15.807,1.012
-12.46503,130.97614,32.25671,Pinelands,Darwin,16.77,0.963
-12.46946,130.98389,34.96735,Yarrawonga,Darwin,17.745,0.975
-12.47172,130.99351,41.51077,Yarrawonga,Darwin,18.82,1.075
-12.47666,131.00028,37.12922,Farrar,Darwin,19.737,0.917
-12.48306,131.0068,27.23482,Farrar,Darwin,20.739,1.002
-12.49065,131.01129,42.17248,Johnston,Darwin,21.71,0.971
-12.49926,131.01496,46.23293,Howard Springs,Darwin,22.743,1.033
-12.50672,131.01924,39.03504,Virginia,Darwin,23.69,0.947
-12.51366,131.0249,19.72105,Virginia,Darwin,24.674,0.984
-12.51883,131.03583,42.83572,Coolalinga,Darwin,25.992,1.318
-12.52233,131.04081,45.96486,Coolalinga,Darwin,26.658,0.666
-12.52781,131.04805,50.55566,Coolalinga,Darwin,27.651,0.993
-12.53534,131.05433,46.02625,Freds Pass,Darwin,28.728,1.077
-12.54242,131.0603,46.51934,Mcminns Lagoon,Darwin,29.745,1.017
-12.54961,131.06537,43.76443,Mcminns Lagoon,Darwin,30.713,0.968
-12.55746,131.07092,42.63321,Mcminns Lagoon,Darwin,31.77,1.057
-12.56479,131.07359,37.89853,Humpty Doo,Darwin,32.631,0.861
-12.5739,131.07362,34.34328,Humpty Doo,Darwin,33.639,1.008
-12.58407,131.07362,27.88026,Bees Creek,Darwin,34.764,1.125
-12.59423,131.07362,24.11785,Bees Creek,Darwin,35.888,1.124
-12.60189,131.07362,19.96216,Humpty Doo,Darwin,36.735,0.847
-12.6102,131.07362,17.88304,Humpty Doo,Darwin,37.654,0.919
-12.62009,131.07305,24.0,Humpty Doo,Darwin,38.75,1.096
-12.62872,131.07293,30.0,Humpty Doo,Darwin,39.705,0.955
-12.63643,131.07421,36.0883,Noonamah,Darwin,40.569,0.864
-12.64568,131.07591,34.13422,Noonamah,Darwin,41.609,1.04
-12.65563,131.07762,41.13393,Noonamah,Darwin,42.725,1.116
-12.66297,131.07883,49.78079,Hughes,Darwin,43.548,0.823
-12.67207,131.08009,51.59636,Hughes,Darwin,44.564,1.016
-12.68081,131.08154,57.0,Livingstone,Darwin,45.544,0.98
-12.69032,131.08393,55.69209,Acacia Hills,Darwin,46.628,1.084
-12.70007,131.08545,60.02762,Acacia Hills,Darwin,47.719,1.091
-12.7074,131.08636,55.86903,Acacia Hills,Darwin,48.536,0.817
-12.71628,131.08748,58.57194,Livingstone,Darwin,49.526,0.99
-12.72537,131.08859,54.86408,Acacia Hills,Darwin,50.539,1.013
-12.73429,131.08975,44.28569,Acacia Hills,Darwin,51.534,0.995
-12.74276,131.09275,54.97864,Acacia Hills,Darwin,52.526,0.992
-12.75196,131.09752,60.23328,Livingstone,Darwin,53.668,1.142
-12.76069,131.10207,62.0,Acacia Hills,Darwin,54.753,1.085
-12.76726,131.10553,60.50885,Acacia Hills,Darwin,55.571,0.818
-12.77432,131.10992,41.0481,Acacia Hills,Darwin,56.486,0.915
-12.78127,131.11774,37.79665,Acacia Hills,Darwin,57.631,1.145
-12.78722,131.12282,32.22208,Acacia Hills,Darwin,58.49,0.859
-12.79619,131.12289,39.81232,Acacia Hills,Darwin,59.482,0.992
-12.80498,131.12234,37.60376,Acacia Hills,Darwin,60.456,0.974
-12.81398,131.12594,48.13543,Acacia Hills,Darwin,61.526,1.07
-12.8213,131.13046,52.81843,Acacia Hills,Darwin,62.473,0.947
-12.82933,131.13254,47.05853,Acacia Hills,Darwin,63.39,0.917
-12.83798,131.13454,33.16292,Acacia Hills,Darwin,64.371,0.981
-12.84824,131.13828,34.32354,Acacia Hills,Darwin,65.576,1.205
-12.85682,131.14141,45.64587,Acacia Hills,Darwin,66.584,1.008
-12.86404,131.14235,58.80177,Lake Bennett,Darwin,67.389,0.805
-12.87256,131.14069,55.06036,Lake Bennett,Darwin,68.349,0.96
-12.88211,131.14152,52.57003,Lake Bennett,Darwin,69.409,1.06
-12.89029,131.14189,54.52586,Lake Bennett,Darwin,70.315,0.906
-12.90068,131.13918,52.29007,Lake Bennett,Darwin,71.501,1.186
-12.90789,131.13886,57.42197,Lake Bennett,Darwin,72.299,0.798
-12.91812,131.1376,73.4271,Lake Bennett,Darwin,73.439,1.14
-12.92558,131.13354,68.04681,Lake Bennett,Darwin,74.375,0.936
-12.93303,131.12991,69.93037,Lake Bennett,Darwin,75.288,0.913
-12.94046,131.12595,76.92233,Lake Bennett,Darwin,76.216,0.928
-12.94875,131.12219,82.97648,Darwin River Dam,Darwin,77.22,1.004
