date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,11,-46,89,736,431,603,217,253,334.0,399,1000.8,234,7.7,62
2023-08-18,09:50:00,11,-44,89,757,457,636,182,431,393.0,504,1000.9,234,7.7,61
2023-08-18,10:00:00,11,-42,89,775,482,668,91,768,481.0,666,1001.0,234,7.7,60
2023-08-18,10:10:00,11,-39,90,788,505,697,105,741,496.0,679,1001.2,234,7.7,58
2023-08-18,10:20:00,11,-37,92,796,526,723,92,796,526.0,723,1001.3,234,7.6,57
2023-08-18,10:30:00,11,-34,94,803,546,748,94,803,546.0,748,1001.4,235,7.6,56
2023-08-18,10:40:00,11,-32,95,809,564,770,95,809,564.0,770,1001.5,235,7.6,55
2023-08-18,10:50:00,11,-29,97,814,581,791,97,814,581.0,791,1001.6,235,7.5,54
2023-08-18,11:00:00,11,-26,99,819,596,809,99,819,596.0,809,1001.7,236,7.4,53
2023-08-18,11:10:00,11,-23,100,823,609,826,114,785,600.0,809,1001.8,236,7.3,52
2023-08-18,11:20:00,11,-20,100,827,621,840,130,751,603.0,808,1001.9,237,7.2,51
2023-08-18,11:30:00,11,-17,101,831,632,853,139,733,608.0,809,1002.0,237,7.1,50
2023-08-18,11:40:00,11,-14,101,834,640,864,155,699,607.0,802,1002.0,238,7.1,50
2023-08-18,11:50:00,12,-11,102,836,647,873,102,836,647.0,873,1002.0,239,7.0,49
2023-08-18,12:00:00,12,-8,102,838,653,879,102,838,653.0,879,1002.0,239,6.9,49
2023-08-18,12:10:00,12,-5,102,840,656,884,102,840,656.0,884,1001.9,240,6.9,49
2023-08-18,12:20:00,12,-2,101,842,658,886,101,842,658.0,886,1001.9,241,6.8,49
2023-08-18,12:30:00,12,2,100,844,659,887,108,826,654.0,879,1001.9,241,6.7,49
2023-08-18,12:40:00,12,5,99,845,657,885,99,845,657.0,885,1001.9,242,6.7,49
2023-08-18,12:50:00,12,8,99,845,654,881,99,845,654.0,881,1001.9,242,6.6,49
2023-08-18,13:00:00,12,11,97,845,649,875,97,845,649.0,875,1001.9,242,6.6,49
2023-08-18,13:10:00,12,14,96,844,642,867,96,844,642.0,867,1001.8,242,6.5,50
2023-08-18,13:20:00,12,18,95,842,633,856,95,842,633.0,856,1001.8,243,6.5,50
2023-08-18,13:30:00,12,21,94,840,623,844,94,840,623.0,844,1001.8,243,6.4,51
2023-08-18,13:40:00,12,24,93,837,611,829,156,666,569.0,750,1001.8,243,6.4,52
2023-08-18,13:50:00,12,26,91,834,598,813,234,428,493.0,613,1001.8,243,6.3,53
2023-08-18,14:00:00,12,29,90,830,583,794,90,830,583.0,794,1001.8,243,6.2,54
2023-08-18,14:10:00,12,32,88,824,566,774,88,824,566.0,774,1001.8,244,6.1,55
2023-08-18,14:20:00,12,35,87,817,548,751,87,817,548.0,751,1001.8,244,6.0,56
2023-08-18,14:30:00,12,37,86,808,528,726,137,658,496.0,667,1001.8,244,5.9,57
2023-08-18,14:40:00,12,40,85,799,507,700,114,710,489.0,665,1001.8,244,5.9,58
2023-08-18,14:50:00,12,42,84,788,484,672,84,788,484.0,672,1001.9,244,5.9,59
2023-08-18,15:00:00,12,44,82,776,460,642,82,776,460.0,642,1002.0,244,5.9,61
2023-08-18,15:10:00,12,46,80,764,435,610,93,720,427.0,595,1002.0,244,5.9,62
2023-08-18,15:20:00,12,49,78,751,409,578,90,707,401.0,563,1002.1,244,5.8,64
2023-08-18,15:30:00,12,51,75,736,382,544,75,736,382.0,544,1002.2,243,5.8,65
2023-08-18,15:40:00,12,53,73,719,354,508,85,667,346.0,492,1002.2,243,5.8,67
2023-08-18,15:50:00,12,55,70,700,324,471,113,502,296.0,408,1002.3,243,5.7,69
2023-08-18,16:00:00,12,56,67,678,295,433,136,323,245.0,317,1002.4,243,5.6,70
2023-08-18,16:10:00,12,58,64,652,264,394,135,245,210.0,263,1002.4,243,5.5,72
2023-08-18,16:20:00,12,60,60,620,233,353,112,301,195.0,258,1002.5,242,5.4,74
2023-08-18,16:30:00,12,62,57,584,202,311,102,262,167.0,220,1002.6,242,5.4,76
2023-08-18,16:40:00,12,63,53,541,170,269,106,63,120.0,130,1002.6,243,5.2,77
2023-08-18,16:50:00,12,65,48,491,139,226,81,0,81.0,78,1002.7,244,5.1,79
2023-08-18,17:00:00,12,67,42,431,109,182,51,0,51.0,49,1002.7,245,4.9,81
2023-08-18,17:10:00,12,68,36,360,80,139,35,0,35.0,33,1002.8,246,4.8,83
2023-08-18,17:20:00,11,70,28,263,52,93,28,0,28.0,27,1002.8,248,4.6,85
2023-08-18,17:30:00,11,71,19,108,28,43,19,0,19.0,19,1002.9,249,4.4,87
2023-08-18,17:40:00,11,73,7,16,9,10,5,0,5.0,5,1002.9,251,4.3,89
2023-08-18,17:50:00,11,74,0,0,0,0,0,0,0.0,0,1003.0,252,4.2,91
2023-08-18,18:00:00,11,75,0,0,0,0,0,0,0.0,0,1003.1,254,4.1,93
2023-08-18,18:10:00,11,77,0,0,0,0,0,0,0.0,0,1003.2,256,4.0,95
2023-08-18,18:20:00,11,78,0,0,0,0,0,0,0.0,0,1003.3,258,4.0,97
2023-08-18,18:30:00,11,80,0,0,0,0,0,0,0.0,0,1003.4,260,3.9,99
2023-08-18,18:40:00,11,81,0,0,0,0,0,0,0.0,0,1003.5,261,3.9,101
2023-08-18,18:50:00,11,82,0,0,0,0,0,0,0.0,0,1003.6,260,4.0,103
2023-08-18,19:00:00,11,84,0,0,0,0,0,0,0.0,0,1003.7,260,4.2,105
2023-08-18,19:10:00,11,85,0,0,0,0,0,0,0.0,0,1003.8,260,4.3,107
2023-08-18,19:20:00,11,86,0,0,0,0,0,0,0.0,0,1003.9,259,4.4,109
2023-08-18,19:30:00,11,88,0,0,0,0,0,0,0.0,0,1004.1,259,4.5,111
2023-08-18,19:40:00,11,89,0,0,0,0,0,0,0.0,0,1004.2,258,4.6,113
2023-08-18,19:50:00,11,91,0,0,0,0,0,0,0.0,0,1004.2,258,4.5,115
2023-08-18,20:00:00,11,92,0,0,0,0,0,0,0.0,0,1004.3,257,4.4,117
2023-08-18,20:10:00,11,94,0,0,0,0,0,0,0.0,0,1004.4,256,4.3,119
2023-08-18,20:20:00,11,95,0,0,0,0,0,0,0.0,0,1004.5,256,4.3,121
2023-08-18,20:30:00,11,97,0,0,0,0,0,0,0.0,0,1004.6,255,4.2,123
2023-08-18,20:40:00,11,98,0,0,0,0,0,0,0.0,0,1004.7,255,4.2,125
2023-08-18,20:50:00,11,100,0,0,0,0,0,0,0.0,0,1004.8,255,4.2,127
2023-08-18,21:00:00,11,102,0,0,0,0,0,0,0.0,0,1004.9,255,4.2,129
2023-08-18,21:10:00,11,104,0,0,0,0,0,0,0.0,0,1005.0,256,4.2,131
2023-08-18,21:20:00,11,105,0,0,0,0,0,0,0.0,0,1005.1,256,4.3,133
2023-08-18,21:30:00,11,107,0,0,0,0,0,0,0.0,0,1005.3,256,4.3,135
2023-08-18,21:40:00,11,110,0,0,0,0,0,0,0.0,0,1005.3,257,4.3,137
2023-08-18,21:50:00,11,112,0,0,0,0,0,0,0.0,0,1005.4,257,4.4,139
2023-08-18,22:00:00,11,114,0,0,0,0,0,0,0.0,0,1005.4,258,4.4,141
2023-08-18,22:10:00,11,117,0,0,0,0,0,0,0.0,0,1005.4,258,4.4,143
2023-08-18,22:20:00,10,119,0,0,0,0,0,0,0.0,0,1005.5,259,4.4,145
2023-08-18,22:30:00,10,122,0,0,0,0,0,0,0.0,0,1005.5,259,4.5,146
2023-08-18,22:40:00,10,126,0,0,0,0,0,0,0.0,0,1005.5,260,4.5,148
2023-08-18,22:50:00,11,129,0,0,0,0,0,0,0.0,0,1005.6,261,4.5,150
2023-08-18,23:00:00,11,133,0,0,0,0,0,0,0.0,0,1005.6,262,4.4,151
2023-08-18,23:10:00,11,137,0,0,0,0,0,0,0.0,0,1005.7,263,4.4,153
2023-08-18,23:20:00,11,142,0,0,0,0,0,0,0.0,0,1005.7,264,4.4,154
2023-08-18,23:30:00,11,147,0,0,0,0,0,0,0.0,0,1005.8,264,4.4,155
2023-08-18,23:40:00,11,152,0,0,0,0,0,0,0.0,0,1005.8,265,4.4,156
2023-08-18,23:50:00,11,158,0,0,0,0,0,0,0.0,0,1005.7,265,4.4,157
2023-08-19,00:00:00,11,164,0,0,0,0,0,0,0.0,0,1005.7,266,4.5,158
2023-08-19,00:10:00,11,170,0,0,0,0,0,0,0.0,0,1005.6,266,4.5,158
2023-08-19,00:20:00,11,177,0,0,0,0,0,0,0.0,0,1005.6,267,4.5,159
2023-08-19,00:30:00,11,-177,0,0,0,0,0,0,0.0,0,1005.5,267,4.5,159
2023-08-19,00:40:00,11,-170,0,0,0,0,0,0,0.0,0,1005.5,267,4.5,158
2023-08-19,00:50:00,11,-164,0,0,0,0,0,0,0.0,0,1005.6,267,4.6,158
2023-08-19,01:00:00,11,-158,0,0,0,0,0,0,0.0,0,1005.6,267,4.6,157
2023-08-19,01:10:00,11,-152,0,0,0,0,0,0,0.0,0,1005.6,267,4.7,156
2023-08-19,01:20:00,11,-146,0,0,0,0,0,0,0.0,0,1005.7,267,4.7,155
2023-08-19,01:30:00,11,-142,0,0,0,0,0,0,0.0,0,1005.7,267,4.8,154
2023-08-19,01:40:00,11,-137,0,0,0,0,0,0,0.0,0,1005.7,266,4.8,153
2023-08-19,01:50:00,11,-133,0,0,0,0,0,0,0.0,0,1005.8,266,4.9,151
2023-08-19,02:00:00,11,-129,0,0,0,0,0,0,0.0,0,1005.8,266,4.9,150
2023-08-19,02:10:00,11,-126,0,0,0,0,0,0,0.0,0,1005.8,266,4.9,148
2023-08-19,02:20:00,11,-122,0,0,0,0,0,0,0.0,0,1005.9,266,5.0,146
2023-08-19,02:30:00,11,-119,0,0,0,0,0,0,0.0,0,1005.9,266,5.0,145
2023-08-19,02:40:00,11,-117,0,0,0,0,0,0,0.0,0,1005.9,265,5.0,143
2023-08-19,02:50:00,11,-114,0,0,0,0,0,0,0.0,0,1005.9,265,5.0,141
2023-08-19,03:00:00,11,-112,0,0,0,0,0,0,0.0,0,1005.9,265,5.0,139
2023-08-19,03:10:00,11,-110,0,0,0,0,0,0,0.0,0,1005.9,265,5.0,137
2023-08-19,03:20:00,11,-107,0,0,0,0,0,0,0.0,0,1005.8,265,4.9,135
2023-08-19,03:30:00,11,-105,0,0,0,0,0,0,0.0,0,1005.8,265,4.9,133
2023-08-19,03:40:00,11,-104,0,0,0,0,0,0,0.0,0,1005.8,265,4.9,131
2023-08-19,03:50:00,11,-102,0,0,0,0,0,0,0.0,0,1005.8,265,4.9,129
2023-08-19,04:00:00,11,-100,0,0,0,0,0,0,0.0,0,1005.8,265,4.9,127
2023-08-19,04:10:00,11,-98,0,0,0,0,0,0,0.0,0,1005.8,265,4.9,125
2023-08-19,04:20:00,11,-97,0,0,0,0,0,0,0.0,0,1005.8,265,4.9,123
2023-08-19,04:30:00,11,-95,0,0,0,0,0,0,0.0,0,1005.8,265,4.9,121
2023-08-19,04:40:00,11,-94,0,0,0,0,0,0,0.0,0,1005.9,265,4.9,119
2023-08-19,04:50:00,11,-92,0,0,0,0,0,0,0.0,0,1006.0,266,4.9,117
2023-08-19,05:00:00,11,-91,0,0,0,0,0,0,0.0,0,1006.1,266,4.9,115
2023-08-19,05:10:00,11,-89,0,0,0,0,0,0,0.0,0,1006.2,266,4.9,113
2023-08-19,05:20:00,11,-88,0,0,0,0,0,0,0.0,0,1006.3,266,4.8,111
2023-08-19,05:30:00,12,-86,0,0,0,0,0,0,0.0,0,1006.4,266,4.8,109
2023-08-19,05:40:00,12,-85,0,0,0,0,0,0,0.0,0,1006.5,266,4.8,107
2023-08-19,05:50:00,12,-84,0,0,0,0,0,0,0.0,0,1006.6,266,4.8,105
2023-08-19,06:00:00,12,-82,0,0,0,0,0,0,0.0,0,1006.7,265,4.8,103
2023-08-19,06:10:00,12,-81,0,0,0,0,0,0,0.0,0,1006.8,265,4.8,101
2023-08-19,06:20:00,12,-80,0,0,0,0,0,0,0.0,0,1006.9,265,4.7,99
2023-08-19,06:30:00,12,-78,0,0,0,0,0,0,0.0,0,1007.0,264,4.7,97
2023-08-19,06:40:00,12,-77,0,0,0,0,0,0,0.0,0,1007.1,264,4.7,95
2023-08-19,06:50:00,12,-75,0,0,0,0,0,0,0.0,0,1007.2,266,4.5,93
