date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,14,-55,59,897,529,677,59,897,529.0,677,961.7,147,6.5,58
2023-08-18,09:50:00,14,-53,60,910,562,714,60,910,562.0,714,961.7,147,6.6,57
2023-08-18,10:00:00,14,-51,60,923,593,749,60,923,593.0,749,961.7,146,6.6,55
2023-08-18,10:10:00,15,-49,61,933,623,783,61,933,623.0,783,961.8,146,6.6,53
2023-08-18,10:20:00,15,-47,62,942,651,815,62,942,651.0,815,961.8,145,6.6,51
2023-08-18,10:30:00,15,-45,63,950,678,845,63,950,678.0,845,961.8,144,6.6,50
2023-08-18,10:40:00,15,-42,64,957,703,874,64,957,703.0,874,961.8,144,6.6,48
2023-08-18,10:50:00,15,-40,65,963,727,900,65,963,727.0,900,961.7,144,6.6,47
2023-08-18,11:00:00,16,-37,65,969,749,924,65,969,749.0,924,961.6,143,6.6,45
2023-08-18,11:10:00,16,-34,66,974,769,947,66,974,769.0,947,961.5,143,6.6,44
2023-08-18,11:20:00,16,-31,66,979,787,967,66,979,787.0,967,961.4,142,6.5,43
2023-08-18,11:30:00,16,-28,67,983,803,985,67,983,803.0,985,961.3,142,6.5,41
2023-08-18,11:40:00,17,-24,67,986,818,1001,67,986,818.0,1001,961.2,142,6.5,40
2023-08-18,11:50:00,17,-21,68,989,830,1015,68,989,830.0,1015,961.1,142,6.4,40
2023-08-18,12:00:00,17,-17,68,991,840,1027,68,991,840.0,1027,961.0,142,6.3,39
2023-08-18,12:10:00,17,-13,68,994,848,1036,68,994,848.0,1036,960.9,142,6.3,38
2023-08-18,12:20:00,18,-9,67,997,855,1043,67,997,855.0,1043,960.9,143,6.2,38
2023-08-18,12:30:00,18,-5,66,1000,859,1048,66,1000,859.0,1048,960.8,143,6.2,37
2023-08-18,12:40:00,18,-1,65,1002,862,1051,65,1002,862.0,1051,960.6,143,6.1,37
2023-08-18,12:50:00,18,3,65,1003,862,1051,65,1003,862.0,1051,960.5,143,6.1,37
2023-08-18,13:00:00,19,7,64,1004,860,1049,64,1004,860.0,1049,960.3,144,6.0,38
2023-08-18,13:10:00,19,10,63,1004,856,1044,63,1004,856.0,1044,960.1,144,6.0,38
2023-08-18,13:20:00,19,14,63,1003,849,1037,63,1003,849.0,1037,960.0,144,5.9,38
2023-08-18,13:30:00,19,18,63,1001,841,1028,63,1001,841.0,1028,959.8,145,5.9,39
2023-08-18,13:40:00,20,22,62,1000,831,1017,62,1000,831.0,1017,959.7,145,5.9,40
2023-08-18,13:50:00,20,25,62,997,818,1003,62,997,818.0,1003,959.6,145,5.8,41
2023-08-18,14:00:00,20,29,62,994,804,987,62,994,804.0,987,959.5,145,5.8,42
