date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,27,-63,106,713,513,596,106,713,513.0,596,1005.5,37,1.1,55
2023-08-18,09:50:00,27,-61,108,730,546,631,108,730,546.0,631,1005.5,37,1.0,53
2023-08-18,10:00:00,27,-60,109,745,578,665,109,745,578.0,665,1005.4,35,0.8,51
2023-08-18,10:10:00,28,-58,110,758,609,698,110,758,609.0,698,1005.4,34,0.7,49
2023-08-18,10:20:00,28,-57,112,770,639,729,112,770,639.0,729,1005.4,32,0.6,47
2023-08-18,10:30:00,28,-55,113,782,667,759,113,782,667.0,759,1005.4,29,0.5,45
2023-08-18,10:40:00,29,-53,113,792,694,787,113,792,694.0,787,1005.3,32,0.4,43
2023-08-18,10:50:00,29,-50,114,801,719,813,114,801,719.0,813,1005.2,45,0.4,41
2023-08-18,11:00:00,29,-48,114,809,742,838,114,809,742.0,838,1005.1,62,0.3,39
2023-08-18,11:10:00,30,-45,115,816,764,860,115,816,764.0,860,1005.0,81,0.3,37
2023-08-18,11:20:00,30,-42,116,821,784,880,116,821,784.0,880,1004.9,98,0.4,36
2023-08-18,11:30:00,30,-39,117,826,801,899,117,826,801.0,899,1004.7,111,0.4,34
2023-08-18,11:40:00,31,-36,118,830,817,915,118,830,817.0,915,1004.6,116,0.5,33
2023-08-18,11:50:00,31,-32,118,834,831,930,118,834,831.0,930,1004.4,115,0.6,31
2023-08-18,12:00:00,31,-28,119,837,843,942,119,837,843.0,942,1004.3,115,0.7,30
2023-08-18,12:10:00,31,-23,118,840,854,953,118,840,854.0,953,1004.1,115,0.8,29
2023-08-18,12:20:00,31,-18,117,845,862,962,117,845,862.0,962,1003.9,114,0.9,28
2023-08-18,12:30:00,31,-13,115,849,869,969,115,849,869.0,969,1003.8,114,0.9,27
2023-08-18,12:40:00,32,-8,114,852,873,974,114,852,873.0,974,1003.6,113,1.1,27
2023-08-18,12:50:00,32,-3,112,856,876,977,112,856,876.0,977,1003.3,112,1.2,27
2023-08-18,13:00:00,32,3,110,858,877,978,110,858,877.0,978,1003.1,112,1.4,27
2023-08-18,13:10:00,32,8,109,859,875,976,109,859,875.0,976,1002.9,111,1.6,27
2023-08-18,13:20:00,32,13,109,858,871,972,109,858,871.0,972,1002.6,111,1.8,27
2023-08-18,13:30:00,33,18,109,857,865,966,109,857,865.0,966,1002.4,110,1.9,28
2023-08-18,13:40:00,33,23,108,855,857,957,108,855,857.0,957,1002.2,110,2.1,29
2023-08-18,13:50:00,33,28,108,853,847,947,108,853,847.0,947,1002.1,110,2.2,30
2023-08-18,14:00:00,33,32,107,850,835,935,107,850,835.0,935,1002.0,109,2.4,31
2023-08-18,14:10:00,33,36,107,847,821,920,107,847,821.0,920,1001.8,109,2.5,32
2023-08-18,14:20:00,33,39,106,843,805,904,106,843,805.0,904,1001.7,109,2.6,34
2023-08-18,14:30:00,33,42,105,839,788,886,105,839,788.0,886,1001.6,109,2.8,36
2023-08-18,14:40:00,34,45,104,834,768,865,104,834,768.0,865,1001.4,108,2.9,37
2023-08-18,14:50:00,34,48,103,828,747,843,103,828,747.0,843,1001.3,108,2.9,39
2023-08-18,15:00:00,34,50,102,822,724,820,102,822,724.0,820,1001.2,108,3.0,41
2023-08-18,15:10:00,34,53,101,814,699,794,101,814,699.0,794,1001.1,108,3.0,43
2023-08-18,15:20:00,34,55,101,805,673,766,101,805,673.0,766,1001.0,108,3.1,45
2023-08-18,15:30:00,34,57,100,794,645,737,100,794,645.0,737,1000.8,108,3.1,47
2023-08-18,15:40:00,34,58,100,783,616,706,100,783,616.0,706,1000.8,108,3.2,49
2023-08-18,15:50:00,34,60,99,770,585,674,99,770,585.0,674,1000.7,108,3.2,51
2023-08-18,16:00:00,33,62,97,756,553,640,97,756,553.0,640,1000.7,108,3.2,53
2023-08-18,16:10:00,33,63,96,741,519,605,96,741,519.0,605,1000.6,108,3.2,55
2023-08-18,16:20:00,33,64,93,726,485,569,93,726,485.0,569,1000.6,108,3.2,57
2023-08-18,16:30:00,33,65,91,709,450,531,91,709,450.0,531,1000.5,108,3.2,60
2023-08-18,16:40:00,33,67,88,689,414,493,88,689,414.0,493,1000.5,108,3.2,62
2023-08-18,16:50:00,33,68,85,667,377,453,85,667,377.0,453,1000.5,108,3.2,64
2023-08-18,17:00:00,33,69,81,642,340,413,81,642,340.0,413,1000.5,107,3.2,66
2023-08-18,17:10:00,32,70,77,613,302,372,77,613,302.0,372,1000.5,107,3.2,69
2023-08-18,17:20:00,32,70,73,580,264,330,73,580,264.0,330,1000.6,107,3.2,71
2023-08-18,17:30:00,32,71,68,542,226,287,68,542,226.0,287,1000.6,107,3.1,73
2023-08-18,17:40:00,31,72,62,497,188,244,62,497,188.0,244,1000.6,106,3.0,75
2023-08-18,17:50:00,31,73,56,445,150,201,56,445,150.0,201,1000.7,105,2.8,78
2023-08-18,18:00:00,31,73,48,381,114,158,48,381,114.0,158,1000.7,103,2.7,80
2023-08-18,18:10:00,31,74,40,306,80,115,40,306,80.0,115,1000.8,101,2.5,82
2023-08-18,18:20:00,31,75,29,209,49,73,31,167,48.0,67,1000.8,99,2.3,85
2023-08-18,18:30:00,31,75,17,68,23,30,19,3,19.0,19,1000.9,97,2.1,87
2023-08-18,18:40:00,30,76,3,4,4,4,3,0,3.0,3,1001.0,94,1.9,89
2023-08-18,18:50:00,30,77,0,0,0,0,0,0,0.0,0,1001.1,92,1.8,92
2023-08-18,19:00:00,29,77,0,0,0,0,0,0,0.0,0,1001.3,88,1.6,94
2023-08-18,19:10:00,29,78,0,0,0,0,0,0,0.0,0,1001.4,84,1.5,97
2023-08-18,19:20:00,29,78,0,0,0,0,0,0,0.0,0,1001.6,79,1.3,99
2023-08-18,19:30:00,28,79,0,0,0,0,0,0,0.0,0,1001.7,73,1.2,101
2023-08-18,19:40:00,28,79,0,0,0,0,0,0,0.0,0,1001.9,65,1.0,104
2023-08-18,19:50:00,27,79,0,0,0,0,0,0,0.0,0,1002.0,51,0.8,106
2023-08-18,20:00:00,27,80,0,0,0,0,0,0,0.0,0,1002.2,30,0.7,109
2023-08-18,20:10:00,27,80,0,0,0,0,0,0,0.0,0,1002.3,4,0.7,111
2023-08-18,20:20:00,27,81,0,0,0,0,0,0,0.0,0,1002.5,342,0.8,113
2023-08-18,20:30:00,27,81,0,0,0,0,0,0,0.0,0,1002.6,328,1.0,116
2023-08-18,20:40:00,26,81,0,0,0,0,0,0,0.0,0,1002.8,319,1.2,118
2023-08-18,20:50:00,26,82,0,0,0,0,0,0,0.0,0,1002.9,313,1.3,121
2023-08-18,21:00:00,26,82,0,0,0,0,0,0,0.0,0,1003.1,308,1.4,123
2023-08-18,21:10:00,26,83,0,0,0,0,0,0,0.0,0,1003.3,303,1.5,125
2023-08-18,21:20:00,26,83,0,0,0,0,0,0,0.0,0,1003.4,300,1.7,128
2023-08-18,21:30:00,26,83,0,0,0,0,0,0,0.0,0,1003.6,297,1.8,130
2023-08-18,21:40:00,26,84,0,0,0,0,0,0,0.0,0,1003.7,295,1.9,133
2023-08-18,21:50:00,26,84,0,0,0,0,0,0,0.0,0,1003.8,294,1.8,135
2023-08-18,22:00:00,26,84,0,0,0,0,0,0,0.0,0,1003.9,293,1.8,137
2023-08-18,22:10:00,25,84,0,0,0,0,0,0,0.0,0,1003.9,293,1.8,140
2023-08-18,22:20:00,25,85,0,0,0,0,0,0,0.0,0,1004.0,292,1.8,142
2023-08-18,22:30:00,25,85,0,0,0,0,0,0,0.0,0,1004.1,291,1.7,145
