date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,13,-52,73,820,471,631,73,820,471.0,631,996.0,215,7.3,61
2023-08-18,09:50:00,14,-50,73,836,501,667,73,836,501.0,667,996.1,214,7.3,59
2023-08-18,10:00:00,14,-48,73,851,529,701,73,851,529.0,701,996.1,213,7.4,58
2023-08-18,10:10:00,14,-46,74,863,556,734,74,863,556.0,734,996.1,212,7.5,56
2023-08-18,10:20:00,14,-43,74,874,582,764,74,874,582.0,764,996.2,210,7.5,54
2023-08-18,10:30:00,14,-41,75,883,606,793,75,883,606.0,793,996.2,209,7.6,53
2023-08-18,10:40:00,15,-38,75,892,629,819,75,892,629.0,819,996.2,209,7.6,52
2023-08-18,10:50:00,15,-36,75,899,650,844,75,899,650.0,844,996.1,208,7.6,50
2023-08-18,11:00:00,15,-33,76,906,669,867,76,906,669.0,867,996.0,208,7.5,49
2023-08-18,11:10:00,15,-30,76,912,687,888,76,912,687.0,888,995.9,208,7.5,48
2023-08-18,11:20:00,16,-27,77,916,703,907,77,916,703.0,907,995.8,207,7.4,47
2023-08-18,11:30:00,16,-24,77,920,717,923,77,920,717.0,923,995.8,207,7.4,46
2023-08-18,11:40:00,16,-21,78,923,729,938,78,923,729.0,938,995.7,207,7.4,45
2023-08-18,11:50:00,16,-18,78,926,740,950,78,926,740.0,950,995.6,207,7.3,44
2023-08-18,12:00:00,17,-14,78,928,748,960,78,928,748.0,960,995.5,207,7.3,44
2023-08-18,12:10:00,17,-11,78,930,755,968,78,930,755.0,968,995.5,207,7.3,43
2023-08-18,12:20:00,17,-7,78,932,760,974,78,932,760.0,974,995.4,208,7.3,43
2023-08-18,12:30:00,17,-4,77,934,763,977,77,934,763.0,977,995.4,208,7.3,43
2023-08-18,12:40:00,17,0,76,935,764,979,76,935,764.0,979,995.2,208,7.2,43
2023-08-18,12:50:00,17,4,76,936,764,978,76,936,764.0,978,995.1,209,7.2,43
2023-08-18,13:00:00,17,7,75,937,761,975,75,937,761.0,975,994.9,209,7.2,43
2023-08-18,13:10:00,18,11,74,937,756,970,74,937,756.0,970,994.8,210,7.2,43
2023-08-18,13:20:00,18,14,74,935,750,962,74,935,750.0,962,994.6,210,7.2,44
2023-08-18,13:30:00,18,17,74,933,741,952,74,933,741.0,952,994.5,211,7.1,44
2023-08-18,13:40:00,18,21,73,930,731,940,73,930,731.0,940,994.4,211,7.1,45
2023-08-18,13:50:00,18,24,73,927,719,926,73,927,719.0,926,994.4,211,7.1,46
2023-08-18,14:00:00,18,27,72,924,705,909,72,924,705.0,909,994.4,211,7.1,47
2023-08-18,14:10:00,18,30,72,920,689,891,72,920,689.0,891,994.4,211,7.1,48
2023-08-18,14:20:00,19,33,71,915,672,870,71,915,672.0,870,994.4,211,7.1,49
2023-08-18,14:30:00,19,36,70,910,653,848,70,910,653.0,848,994.3,211,7.1,50
2023-08-18,14:40:00,19,38,69,904,632,823,69,904,632.0,823,994.3,211,7.1,52
2023-08-18,14:50:00,19,41,68,897,609,797,68,897,609.0,797,994.3,211,7.0,53
2023-08-18,15:00:00,19,43,67,889,585,769,67,889,585.0,769,994.3,211,7.0,54
