date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,26,-60,78,798,538,642,78,798,538.0,642,992.8,43,3.5,55
2023-08-18,09:50:00,27,-58,79,810,570,676,79,810,570.0,676,992.8,43,3.5,53
2023-08-18,10:00:00,27,-56,81,820,600,709,81,820,600.0,709,992.7,43,3.4,51
2023-08-18,10:10:00,28,-54,82,830,629,740,82,830,629.0,740,992.7,43,3.4,49
2023-08-18,10:20:00,28,-52,83,838,657,769,83,838,657.0,769,992.7,43,3.3,47
2023-08-18,10:30:00,29,-50,84,845,683,797,84,845,683.0,797,992.7,43,3.3,45
2023-08-18,10:40:00,29,-48,85,852,707,823,85,852,707.0,823,992.6,43,3.2,43
2023-08-18,10:50:00,29,-45,86,858,730,847,86,858,730.0,847,992.6,43,3.2,41
2023-08-18,11:00:00,30,-43,87,864,752,870,87,864,752.0,870,992.5,44,3.1,40
2023-08-18,11:10:00,30,-40,88,869,771,891,88,869,771.0,891,992.4,45,3.0,38
2023-08-18,11:20:00,31,-37,88,873,789,910,88,873,789.0,910,992.3,45,3.0,37
2023-08-18,11:30:00,31,-33,89,877,805,927,89,877,805.0,927,992.2,46,2.9,35
2023-08-18,11:40:00,31,-29,89,880,819,941,89,880,819.0,941,992.1,49,2.8,34
2023-08-18,11:50:00,32,-26,90,883,831,955,90,883,831.0,955,991.9,55,2.8,33
2023-08-18,12:00:00,32,-21,90,886,842,966,90,886,842.0,966,991.8,62,2.7,32
2023-08-18,12:10:00,32,-17,91,887,850,974,91,887,850.0,974,991.6,68,2.7,31
2023-08-18,12:20:00,33,-12,92,888,856,981,92,888,856.0,981,991.4,75,2.7,31
2023-08-18,12:30:00,33,-8,93,888,860,985,93,888,860.0,985,991.3,81,2.8,30
2023-08-18,12:40:00,33,-3,94,887,863,987,94,887,863.0,987,991.1,87,2.8,30
2023-08-18,12:50:00,34,2,95,886,863,987,95,886,863.0,987,990.9,92,2.9,30
2023-08-18,13:00:00,34,7,95,885,861,985,99,878,859.0,983,990.7,98,3.0,30
2023-08-18,13:10:00,34,12,96,883,857,981,296,493,721.0,795,990.5,103,3.1,30
2023-08-18,13:20:00,34,16,96,882,851,975,442,161,580.0,598,990.3,108,3.2,31
2023-08-18,13:30:00,34,21,95,881,844,967,441,153,570.0,586,990.1,112,3.3,32
2023-08-18,13:40:00,34,25,95,879,834,957,393,261,612.0,649,989.9,115,3.4,33
2023-08-18,13:50:00,34,29,94,876,822,944,228,613,737.0,829,989.8,117,3.5,34
2023-08-18,14:00:00,35,33,94,873,808,929,146,771,777.0,888,989.7,119,3.6,35
