date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,27,-63,104,705,507,586,104,705,507.0,586,1016.9,76,1.2,55
2023-08-18,09:50:00,27,-62,106,721,541,621,106,721,541.0,621,1016.9,75,1.1,53
2023-08-18,10:00:00,27,-60,107,737,573,655,107,737,573.0,655,1016.9,75,1.0,51
2023-08-18,10:10:00,28,-59,109,750,604,687,109,750,604.0,687,1016.8,74,0.9,49
2023-08-18,10:20:00,28,-57,111,761,633,718,111,761,633.0,718,1016.8,73,0.8,47
2023-08-18,10:30:00,28,-55,112,771,661,747,112,771,661.0,747,1016.8,72,0.7,45
2023-08-18,10:40:00,28,-53,114,780,687,774,114,780,687.0,774,1016.7,71,0.6,43
2023-08-18,10:50:00,29,-51,115,787,712,800,115,787,712.0,800,1016.6,69,0.6,41
2023-08-18,11:00:00,29,-49,116,794,735,823,116,794,735.0,823,1016.5,67,0.5,39
2023-08-18,11:10:00,29,-46,117,801,756,845,117,801,756.0,845,1016.4,65,0.5,37
2023-08-18,11:20:00,29,-43,118,806,776,865,118,806,776.0,865,1016.3,62,0.4,35
2023-08-18,11:30:00,30,-40,118,811,793,884,118,811,793.0,884,1016.1,58,0.4,34
2023-08-18,11:40:00,30,-36,119,815,809,900,119,815,809.0,900,1016.0,55,0.4,32
2023-08-18,11:50:00,30,-33,120,819,823,914,158,747,800.0,885,1015.9,53,0.4,31
2023-08-18,12:00:00,30,-28,120,822,835,927,189,693,793.0,872,1015.8,51,0.4,30
2023-08-18,12:10:00,30,-24,120,826,845,937,191,695,802.0,882,1015.7,49,0.4,28
2023-08-18,12:20:00,30,-19,118,830,854,946,198,684,805.0,884,1015.6,47,0.4,28
2023-08-18,12:30:00,30,-14,117,834,860,953,187,707,818.0,899,1015.4,46,0.4,27
2023-08-18,12:40:00,31,-9,115,837,865,958,182,718,825.0,907,1015.3,44,0.5,26
2023-08-18,12:50:00,31,-3,113,841,868,961,174,732,831.0,914,1015.1,43,0.5,26
2023-08-18,13:00:00,31,2,111,843,868,962,181,718,826.0,908,1014.8,42,0.6,26
2023-08-18,13:10:00,31,8,110,844,867,960,127,814,857.0,948,1014.6,41,0.6,26
2023-08-18,13:20:00,31,13,110,843,863,956,146,778,841.0,929,1014.4,41,0.7,27
2023-08-18,13:30:00,31,18,110,841,857,950,130,806,845.0,935,1014.2,40,0.8,27
2023-08-18,13:40:00,32,23,110,839,849,941,110,839,849.0,941,1014.0,39,0.8,28
2023-08-18,13:50:00,32,28,109,837,839,931,109,837,839.0,931,1013.9,37,0.8,29
2023-08-18,14:00:00,32,32,109,834,827,919,109,834,827.0,919,1013.7,36,0.8,31
2023-08-18,14:10:00,32,36,108,831,813,905,108,831,813.0,905,1013.6,34,0.8,32
2023-08-18,14:20:00,32,39,107,827,798,889,107,827,798.0,889,1013.4,32,0.8,33
2023-08-18,14:30:00,32,43,107,822,780,871,107,822,780.0,871,1013.3,31,0.8,35
2023-08-18,14:40:00,32,46,106,817,761,851,106,817,761.0,851,1013.1,28,0.8,37
2023-08-18,14:50:00,32,48,105,811,740,829,105,811,740.0,829,1013.0,25,0.8,38
2023-08-18,15:00:00,32,51,104,805,717,806,104,805,717.0,806,1012.9,21,0.8,40
2023-08-18,15:10:00,32,53,103,797,693,781,103,797,693.0,781,1012.8,18,0.7,42
2023-08-18,15:20:00,32,55,103,787,667,753,103,787,667.0,753,1012.7,14,0.7,44
2023-08-18,15:30:00,32,57,102,776,639,724,102,776,639.0,724,1012.5,10,0.7,46
2023-08-18,15:40:00,32,59,102,764,610,694,102,764,610.0,694,1012.5,5,0.7,48
2023-08-18,15:50:00,32,60,101,751,580,662,101,751,580.0,662,1012.4,358,0.8,50
2023-08-18,16:00:00,32,62,100,737,548,629,100,737,548.0,629,1012.4,352,0.8,53
2023-08-18,16:10:00,32,63,98,721,515,595,98,721,515.0,595,1012.3,347,0.8,55
2023-08-18,16:20:00,32,64,96,704,481,559,96,704,481.0,559,1012.3,342,0.9,57
2023-08-18,16:30:00,32,66,94,685,446,522,94,685,446.0,522,1012.2,338,1.0,59
2023-08-18,16:40:00,32,67,92,663,410,483,92,663,410.0,483,1012.2,334,1.1,61
2023-08-18,16:50:00,31,68,89,639,373,444,89,639,373.0,444,1012.2,330,1.2,64
2023-08-18,17:00:00,31,69,86,611,336,404,86,611,336.0,404,1012.3,327,1.3,66
2023-08-18,17:10:00,31,70,82,582,299,363,82,582,299.0,363,1012.3,324,1.5,68
2023-08-18,17:20:00,31,71,77,551,261,322,77,551,261.0,322,1012.3,322,1.6,70
2023-08-18,17:30:00,30,71,71,514,224,281,71,514,224.0,281,1012.4,320,1.8,73
2023-08-18,17:40:00,30,72,65,472,187,239,65,472,187.0,239,1012.4,319,1.9,75
2023-08-18,17:50:00,30,73,58,421,150,197,58,421,150.0,197,1012.5,317,2.1,77
2023-08-18,18:00:00,30,73,50,362,115,156,50,362,115.0,156,1012.5,316,2.2,80
2023-08-18,18:10:00,30,74,41,289,81,114,41,289,81.0,114,1012.6,314,2.3,82
2023-08-18,18:20:00,29,75,31,200,51,74,31,200,51.0,74,1012.6,313,2.5,84
2023-08-18,18:30:00,29,75,19,70,25,32,20,52,24.0,29,1012.7,312,2.6,87
2023-08-18,18:40:00,29,76,5,5,5,5,5,0,5.0,5,1012.8,311,2.7,89
2023-08-18,18:50:00,29,76,0,0,0,0,0,0,0.0,0,1012.9,309,2.6,92
2023-08-18,19:00:00,28,77,0,0,0,0,0,0,0.0,0,1013.1,307,2.6,94
