date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,26,-61,87,772,532,626,87,772,532.0,626,1012.8,342,2.6,55
2023-08-18,09:50:00,27,-60,88,786,564,661,88,786,564.0,661,1012.8,341,2.5,53
2023-08-18,10:00:00,27,-58,89,799,596,695,89,799,596.0,695,1012.8,340,2.4,51
2023-08-18,10:10:00,27,-56,90,810,626,727,90,810,626.0,727,1012.8,340,2.3,49
2023-08-18,10:20:00,28,-55,92,820,655,757,92,820,655.0,757,1012.7,339,2.2,47
2023-08-18,10:30:00,28,-53,93,828,682,785,93,828,682.0,785,1012.7,338,2.1,45
2023-08-18,10:40:00,29,-50,94,835,707,812,94,835,707.0,812,1012.7,338,2.0,43
2023-08-18,10:50:00,29,-48,95,842,732,838,95,842,732.0,838,1012.6,339,1.8,41
2023-08-18,11:00:00,30,-45,96,848,754,861,96,848,754.0,861,1012.5,340,1.6,39
2023-08-18,11:10:00,30,-43,97,853,775,883,97,853,775.0,883,1012.4,342,1.4,37
2023-08-18,11:20:00,30,-39,99,857,793,902,99,857,793.0,902,1012.3,344,1.3,36
2023-08-18,11:30:00,31,-36,100,860,810,920,100,860,810.0,920,1012.2,347,1.1,34
2023-08-18,11:40:00,31,-32,102,863,825,936,102,863,825.0,936,1012.0,355,0.9,33
2023-08-18,11:50:00,31,-29,103,865,838,949,103,865,838.0,949,1011.8,12,0.7,32
2023-08-18,12:00:00,32,-24,105,866,849,961,105,866,849.0,961,1011.6,38,0.6,31
2023-08-18,12:10:00,32,-20,105,869,859,971,105,869,859.0,971,1011.4,64,0.7,30
2023-08-18,12:20:00,32,-15,104,872,866,979,104,872,866.0,979,1011.2,83,0.9,29
2023-08-18,12:30:00,32,-10,103,875,872,985,103,875,872.0,985,1011.0,95,1.1,29
2023-08-18,12:40:00,32,-5,102,877,876,989,102,877,876.0,989,1010.8,103,1.4,28
2023-08-18,12:50:00,33,0,102,879,877,990,102,879,877.0,990,1010.6,108,1.7,28
2023-08-18,13:00:00,33,5,101,881,877,990,101,881,877.0,990,1010.3,111,2.0,28
2023-08-18,13:10:00,33,10,100,881,874,987,100,881,874.0,987,1010.1,114,2.4,29
2023-08-18,13:20:00,33,15,100,880,869,982,100,880,869.0,982,1009.9,115,2.7,29
2023-08-18,13:30:00,33,20,99,879,862,975,99,879,862.0,975,1009.7,117,3.1,30
2023-08-18,13:40:00,34,24,99,877,853,966,99,877,853.0,966,1009.5,117,3.3,31
2023-08-18,13:50:00,34,28,98,875,843,954,98,875,843.0,954,1009.4,118,3.4,32
2023-08-18,14:00:00,34,32,98,872,830,941,98,872,830.0,941,1009.3,118,3.4,33
2023-08-18,14:10:00,34,36,98,869,815,925,98,869,815.0,925,1009.2,118,3.5,34
2023-08-18,14:20:00,34,39,98,863,798,908,98,863,798.0,908,1009.1,118,3.5,36
2023-08-18,14:30:00,34,42,98,858,779,888,98,858,779.0,888,1009.0,118,3.6,37
2023-08-18,14:40:00,34,45,98,852,759,866,98,852,759.0,866,1008.9,118,3.6,39
2023-08-18,14:50:00,34,48,97,845,736,843,97,845,736.0,843,1008.8,118,3.6,41
2023-08-18,15:00:00,34,50,97,837,712,817,97,837,712.0,817,1008.7,118,3.7,43
2023-08-18,15:10:00,34,53,98,826,686,789,98,826,686.0,789,1008.5,118,3.7,45
2023-08-18,15:20:00,34,55,99,812,658,759,99,812,658.0,759,1008.4,117,3.7,46
2023-08-18,15:30:00,34,56,101,797,628,728,101,797,628.0,728,1008.3,117,3.7,48
2023-08-18,15:40:00,34,58,102,780,597,694,102,780,597.0,694,1008.2,117,3.7,51
2023-08-18,15:50:00,34,60,102,762,565,659,102,762,565.0,659,1008.2,117,3.7,53
2023-08-18,16:00:00,34,61,103,741,531,623,103,741,531.0,623,1008.2,117,3.7,55
2023-08-18,16:10:00,34,63,102,722,497,586,102,722,497.0,586,1008.2,117,3.8,57
2023-08-18,16:20:00,34,64,99,703,461,548,99,703,461.0,548,1008.2,117,3.8,59
2023-08-18,16:30:00,34,65,96,683,425,509,96,683,425.0,509,1008.2,117,3.8,61
2023-08-18,16:40:00,34,66,93,659,388,469,93,659,388.0,469,1008.2,116,3.8,63
2023-08-18,16:50:00,34,67,90,633,351,428,90,633,351.0,428,1008.2,116,3.8,66
2023-08-18,17:00:00,34,69,86,603,313,386,86,603,313.0,386,1008.2,116,3.8,68
2023-08-18,17:10:00,33,69,81,570,274,343,81,570,274.0,343,1008.3,115,3.8,70
2023-08-18,17:20:00,33,70,75,533,236,300,75,533,236.0,300,1008.3,115,3.8,72
2023-08-18,17:30:00,33,71,69,490,198,257,69,490,198.0,257,1008.3,115,3.8,75
2023-08-18,17:40:00,32,72,62,440,161,213,62,440,161.0,213,1008.4,115,3.7,77
2023-08-18,17:50:00,32,73,54,381,125,170,54,381,125.0,170,1008.5,115,3.5,79
2023-08-18,18:00:00,32,74,45,311,90,127,45,311,90.0,127,1008.5,115,3.3,82
2023-08-18,18:10:00,31,74,34,229,58,85,34,229,58.0,85,1008.6,115,3.0,84
2023-08-18,18:20:00,31,75,22,103,31,42,25,17,26.0,27,1008.7,114,2.8,86
2023-08-18,18:30:00,31,76,8,14,9,10,7,0,7.0,7,1008.7,114,2.5,89
2023-08-18,18:40:00,30,76,0,0,0,0,0,0,0.0,0,1008.8,113,2.4,91
2023-08-18,18:50:00,30,77,0,0,0,0,0,0,0.0,0,1009.0,111,2.3,93
2023-08-18,19:00:00,29,77,0,0,0,0,0,0,0.0,0,1009.1,108,2.3,96
2023-08-18,19:10:00,29,78,0,0,0,0,0,0,0.0,0,1009.3,105,2.3,98
2023-08-18,19:20:00,29,79,0,0,0,0,0,0,0.0,0,1009.4,102,2.3,100
2023-08-18,19:30:00,28,79,0,0,0,0,0,0,0.0,0,1009.6,99,2.2,103
2023-08-18,19:40:00,28,80,0,0,0,0,0,0,0.0,0,1009.7,97,2.2,105
2023-08-18,19:50:00,28,80,0,0,0,0,0,0,0.0,0,1009.9,95,2.2,108
2023-08-18,20:00:00,27,81,0,0,0,0,0,0,0.0,0,1010.1,94,2.2,110
2023-08-18,20:10:00,27,81,0,0,0,0,0,0,0.0,0,1010.2,92,2.1,112
2023-08-18,20:20:00,27,82,0,0,0,0,0,0,0.0,0,1010.4,90,2.1,115
2023-08-18,20:30:00,26,82,0,0,0,0,0,0,0.0,0,1010.5,88,2.1,117
2023-08-18,20:40:00,26,82,0,0,0,0,0,0,0.0,0,1010.7,87,2.1,120
2023-08-18,20:50:00,26,83,0,0,0,0,0,0,0.0,0,1010.8,85,2.2,122
2023-08-18,21:00:00,26,83,0,0,0,0,0,0,0.0,0,1010.9,84,2.2,124
2023-08-18,21:10:00,26,84,0,0,0,0,0,0,0.0,0,1011.1,83,2.2,127
2023-08-18,21:20:00,26,84,0,0,0,0,0,0,0.0,0,1011.2,82,2.3,129
2023-08-18,21:30:00,26,85,0,0,0,0,0,0,0.0,0,1011.3,81,2.3,132
2023-08-18,21:40:00,26,85,0,0,0,0,0,0,0.0,0,1011.4,79,2.4,134
2023-08-18,21:50:00,26,85,0,0,0,0,0,0,0.0,0,1011.5,78,2.4,136
2023-08-18,22:00:00,26,86,0,0,0,0,0,0,0.0,0,1011.5,77,2.4,139
2023-08-18,22:10:00,26,86,0,0,0,0,0,0,0.0,0,1011.6,75,2.5,141
2023-08-18,22:20:00,26,87,0,0,0,0,0,0,0.0,0,1011.6,74,2.5,144
2023-08-18,22:30:00,26,87,0,0,0,0,0,0,0.0,0,1011.7,73,2.6,146
2023-08-18,22:40:00,26,88,0,0,0,0,0,0,0.0,0,1011.7,72,2.7,148
2023-08-18,22:50:00,26,88,0,0,0,0,0,0,0.0,0,1011.8,71,2.8,151
2023-08-18,23:00:00,26,89,0,0,0,0,0,0,0.0,0,1011.9,71,2.9,153
2023-08-18,23:10:00,26,89,0,0,0,0,0,0,0.0,0,1011.9,70,3.0,156
2023-08-18,23:20:00,26,90,0,0,0,0,0,0,0.0,0,1012.0,70,3.1,158
2023-08-18,23:30:00,26,90,0,0,0,0,0,0,0.0,0,1012.1,69,3.3,161
