date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,26,-59,75,803,532,642,75,803,532.0,642,996.4,46,2.1,55
2023-08-18,09:50:00,26,-57,76,816,564,676,76,816,564.0,676,996.6,66,1.8,53
2023-08-18,10:00:00,27,-55,77,827,594,709,77,827,594.0,709,996.7,90,1.8,51
2023-08-18,10:10:00,27,-54,78,837,623,740,78,837,623.0,740,996.8,109,2.1,49
2023-08-18,10:20:00,27,-51,79,845,650,769,79,845,650.0,769,996.9,123,2.6,47
2023-08-18,10:30:00,28,-49,80,852,676,797,80,852,676.0,797,997.0,133,3.2,46
2023-08-18,10:40:00,28,-47,81,858,700,823,81,858,700.0,823,997.1,137,3.7,44
2023-08-18,10:50:00,28,-44,82,864,723,847,82,864,723.0,847,997.1,138,4.0,42
2023-08-18,11:00:00,28,-42,83,869,744,870,83,869,744.0,870,997.1,138,4.4,41
2023-08-18,11:10:00,28,-39,84,874,763,890,84,874,763.0,890,997.1,139,4.8,39
2023-08-18,11:20:00,28,-36,84,878,781,909,84,878,781.0,909,997.1,139,5.2,38
2023-08-18,11:30:00,28,-32,85,882,796,926,85,882,796.0,926,997.1,140,5.6,36
2023-08-18,11:40:00,29,-29,85,885,810,941,85,885,810.0,941,997.0,139,5.7,35
2023-08-18,11:50:00,29,-25,86,888,822,954,86,888,822.0,954,996.9,138,5.7,34
2023-08-18,12:00:00,29,-21,86,890,833,965,86,890,833.0,965,996.8,136,5.7,33
2023-08-18,12:10:00,30,-16,87,891,841,973,87,891,841.0,973,996.6,135,5.7,32
2023-08-18,12:20:00,30,-12,89,890,847,979,89,890,847.0,979,996.5,134,5.7,32
2023-08-18,12:30:00,30,-7,91,888,850,983,91,888,850.0,983,996.4,132,5.7,31
2023-08-18,12:40:00,30,-3,93,886,852,985,93,886,852.0,985,996.2,131,5.7,31
2023-08-18,12:50:00,31,2,95,884,852,985,95,884,852.0,985,996.1,131,5.7,31
