date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,22,-57,67,818,526,646,67,818,526.0,646,976.7,116,10.7,56
2023-08-18,09:50:00,23,-55,68,831,557,680,68,831,557.0,680,976.8,116,10.6,54
2023-08-18,10:00:00,23,-53,69,842,587,713,69,842,587.0,713,976.8,115,10.6,52
2023-08-18,10:10:00,23,-51,69,851,615,744,69,851,615.0,744,976.9,115,10.5,50
2023-08-18,10:20:00,23,-49,70,859,641,773,70,859,641.0,773,977.0,115,10.5,48
2023-08-18,10:30:00,23,-47,71,866,667,800,71,866,667.0,800,977.0,115,10.4,47
2023-08-18,10:40:00,24,-44,72,873,690,826,72,873,690.0,826,977.1,114,10.4,45
2023-08-18,10:50:00,24,-42,73,878,712,850,73,878,712.0,850,977.0,114,10.3,43
2023-08-18,11:00:00,24,-39,74,884,733,872,74,884,733.0,872,977.0,114,10.2,42
2023-08-18,11:10:00,24,-36,74,888,751,893,74,888,751.0,893,977.0,114,10.1,40
2023-08-18,11:20:00,24,-33,75,892,768,911,75,892,768.0,911,976.9,114,10.0,39
2023-08-18,11:30:00,24,-30,76,896,783,927,76,896,783.0,927,976.9,114,9.9,38
2023-08-18,11:40:00,24,-26,76,899,797,942,76,899,797.0,942,976.8,114,9.8,37
2023-08-18,11:50:00,25,-22,76,901,808,954,76,901,808.0,954,976.7,114,9.7,36
2023-08-18,12:00:00,25,-18,77,903,817,964,77,903,817.0,964,976.6,115,9.7,35
2023-08-18,12:10:00,25,-14,77,904,825,972,77,904,825.0,972,976.5,115,9.6,34
2023-08-18,12:20:00,26,-10,78,904,830,978,78,904,830.0,978,976.4,115,9.5,34
2023-08-18,12:30:00,26,-6,79,904,833,981,79,904,833.0,981,976.3,116,9.5,33
2023-08-18,12:40:00,26,-1,80,903,835,983,80,903,835.0,983,976.2,116,9.4,33
2023-08-18,12:50:00,26,3,81,902,834,982,81,902,834.0,982,976.1,116,9.3,33
2023-08-18,13:00:00,26,8,82,900,832,979,82,900,832.0,979,976.0,117,9.1,34
2023-08-18,13:10:00,26,12,82,899,827,974,82,899,827.0,974,975.9,117,9.0,34
2023-08-18,13:20:00,26,16,82,898,821,968,82,898,821.0,968,975.8,117,8.9,35
2023-08-18,13:30:00,27,20,81,896,813,959,81,896,813.0,959,975.6,118,8.8,35
2023-08-18,13:40:00,27,24,81,894,803,948,81,894,803.0,948,975.5,118,8.7,36
2023-08-18,13:50:00,27,28,81,891,790,934,81,891,790.0,934,975.4,118,8.6,37
2023-08-18,14:00:00,27,31,80,888,777,919,80,888,777.0,919,975.3,119,8.6,38
2023-08-18,14:10:00,27,35,79,884,761,902,79,884,761.0,902,975.2,119,8.5,40
2023-08-18,14:20:00,27,38,79,880,743,883,79,880,743.0,883,975.1,119,8.5,41
2023-08-18,14:30:00,27,41,78,876,724,862,78,876,724.0,862,975.0,119,8.4,43
2023-08-18,14:40:00,27,43,77,870,703,839,77,870,703.0,839,974.9,119,8.3,44
2023-08-18,14:50:00,27,46,76,865,680,814,76,865,680.0,814,974.9,120,8.3,46
