date,time,air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,dhi,dni,ghi,gti,surface_pressure,wind_direction_10m,wind_speed_10m,zenith
2023-08-18,09:40:00,13,-49,70,810,463,631,70,810,463.0,631,1008.6,230,8.4,61
2023-08-18,09:50:00,13,-47,67,833,492,667,67,833,492.0,667,1008.6,230,8.5,59
2023-08-18,10:00:00,13,-45,65,853,519,701,65,853,519.0,701,1008.6,230,8.6,58
2023-08-18,10:10:00,13,-43,64,867,544,732,64,867,544.0,732,1008.6,230,8.7,56
2023-08-18,10:20:00,13,-40,66,873,568,759,66,873,568.0,759,1008.6,230,8.8,55
2023-08-18,10:30:00,13,-38,67,879,590,785,67,879,590.0,785,1008.6,230,8.9,54
2023-08-18,10:40:00,14,-35,69,885,610,810,69,885,610.0,810,1008.5,229,9.0,52
2023-08-18,10:50:00,14,-32,71,889,629,832,71,889,629.0,832,1008.5,229,9.0,51
2023-08-18,11:00:00,14,-30,72,893,646,853,72,893,646.0,853,1008.5,229,9.1,50
2023-08-18,11:10:00,14,-27,73,897,662,871,73,897,662.0,871,1008.4,229,9.2,49
2023-08-18,11:20:00,14,-24,74,901,676,888,74,901,676.0,888,1008.4,229,9.2,48
2023-08-18,11:30:00,14,-21,74,905,688,903,74,905,688.0,903,1008.4,229,9.3,47
2023-08-18,11:40:00,14,-17,75,907,699,915,75,907,699.0,915,1008.3,229,9.3,47
2023-08-18,11:50:00,15,-14,75,910,708,926,75,910,708.0,926,1008.3,229,9.2,46
2023-08-18,12:00:00,15,-11,76,911,714,934,76,911,714.0,934,1008.2,230,9.2,45
2023-08-18,12:10:00,15,-8,76,912,719,940,76,912,719.0,940,1008.2,231,9.1,45
2023-08-18,12:20:00,15,-4,77,912,723,943,77,912,723.0,943,1008.1,232,9.0,45
2023-08-18,12:30:00,15,-1,78,911,724,945,78,911,724.0,945,1008.1,232,9.0,45
2023-08-18,12:40:00,15,3,79,909,723,944,97,868,712.0,926,1008.0,233,8.9,45
2023-08-18,12:50:00,16,6,79,908,721,941,207,604,634.0,791,1008.0,234,8.8,45
2023-08-18,13:00:00,16,10,80,905,716,935,300,371,561.0,663,1007.9,235,8.7,45
2023-08-18,13:10:00,16,13,81,902,710,928,361,186,491.0,540,1007.8,235,8.6,46
2023-08-18,13:20:00,16,16,81,899,702,918,255,478,585.0,715,1007.8,236,8.5,46
2023-08-18,13:30:00,16,19,81,895,692,906,268,437,566.0,686,1007.7,237,8.4,47
2023-08-18,13:40:00,17,23,81,890,680,892,262,438,557.0,675,1007.6,237,8.4,48
2023-08-18,13:50:00,17,26,82,885,667,876,341,182,461.0,506,1007.6,236,8.4,49
2023-08-18,14:00:00,17,29,82,879,652,857,82,879,652.0,857,1007.6,235,8.5,50
2023-08-18,14:10:00,17,31,82,872,635,837,82,872,635.0,837,1007.6,235,8.6,51
2023-08-18,14:20:00,17,34,81,864,616,814,81,864,616.0,814,1007.6,234,8.7,52
2023-08-18,14:30:00,17,37,81,856,596,790,81,856,596.0,790,1007.6,233,8.7,53
2023-08-18,14:40:00,17,39,81,846,574,764,81,846,574.0,764,1007.5,233,8.7,54
2023-08-18,14:50:00,17,42,80,836,551,735,132,687,518.0,678,1007.5,234,8.5,56
2023-08-18,15:00:00,17,44,80,824,526,706,114,724,506.0,669,1007.5,235,8.4,57
2023-08-18,15:10:00,17,46,79,812,500,674,171,509,437.0,555,1007.4,235,8.2,59
2023-08-18,15:20:00,17,49,78,798,473,641,223,292,367.0,436,1007.4,236,8.1,60
2023-08-18,15:30:00,17,51,76,782,445,606,253,91,296.0,313,1007.4,237,7.9,62
2023-08-18,15:40:00,17,53,75,765,415,570,245,49,267.0,272,1007.4,238,7.8,64
